deck,cabin,cabin_x,cabin_y
C,C23,440.0,2.0
C,C25,440.0,1.0
C,C26,435.0,6.0
C,C58,435.0,4.0
C,C51,435.0,3.0
C,C27,435.0,1.0
C,C30,430.0,6.0
C,C28,430.0,5.0
C,C60,430.0,4.0
C,C53,430.0,3.0
C,C29,430.0,2.0
C,C31,430.0,1.0
C,C32,425.0,6.0
C,C35,420.0,2.0
C,C36,420.0,6.0
C,C34,420.0,5.0
C,C37,420.0,1.0
C,C39,415.0,6.0
C,C38,415.0,1.0
C,C40,410.0,5.0
C,C46,405.0,6.0
C,C44,405.0,5.0
C,C62,400.0,6.0
C,C104,400.0,5.0
C,C95,400.0,2.0
C,C55,400.0,1.0
C,C64,395.0,6.0
C,C106,395.0,5.0
C,C97,395.0,2.0
C,C57,395.0,1.0
C,C108,390.0,5.0
C,C99,390.0,2.0
C,C66,385.0,6.0
C,C110,380.0,5.0
C,C101,385.0,2.0
C,C59,385.0,1.0
C,C68,380.0,6.0
C,C112,380.0,5.0
C,C103,380.0,2.0
C,C61,380.0,1.0
C,C105,375.0,2.0
C,C70,370.0,6.0
C,C114,370.0,5.0
1,107,370.0,2.0
C,C63,370.0,1.0
C,C72,365.0,6.0
C,C116,365.0,5.0
C,C118,365.0,4.0
C,C111,365.0,3.0
C,C109,365.0,2.0
C,C65,365.0,1.0
C,C74,360.0,6.0
C,C124,360.0,5.0
C,C120,360.0,4.0
C,C113,360.0,3.0
C,C115,360.0,2.0
C,C67,360.0,1.0
C,C76,355.0,6.0
C,C126,355.0,5.0
C,C69,355.0,1.0
C,C78,350.0,6.0
C,C128,350.0,5.0
C,C117,350.0,2.0
C,C71,350.0,1.0
C,C80,345.0,6.0
C,C130,345.0,5.0
C,C119,345.0,2.0
C,C73,345.0,1.0
C,C132,340.0,4.0
C,C121,340.0,3.0
C,C82,335.0,6.0
C,C134,335.0,5.0
C,C75,335.0,1.0
C,C86,330.0,6.0
C,C92,330.0,4.0
C,C83,330.0,3.0
D,D6,465.0,6.0
D,D4,465.0,5.0
D,D2,465.0,4.0
D,D3,465.0,3.0
D,D5,465.0,2.0
D,D7,465.0,1.0
D,D10,460.0,6.0
D,D40,460.0,5.0
D,D38,460.0,4.0
D,D39,460.0,3.0
D,D9,460.0,2.0
D,D11,460.0,1.0
D,D16,455.0,6.0
D,D14,455.0,5.0
D,D15,455.0,2.0
D,D17,455.0,1.0
D,D20,450.0,6.0
D,D18,450.0,5.0
D,D42,450.0,4.0
D,D43,450.0,3.0
D,D19,450.0,2.0
D,D21,450.0,1.0
D,D24,445.0,6.0
D,D22,445.0,2.0
D,D46,445.0,4.0
D,D45,445.0,3.0
D,D25,445.0,1.0
D,D28,440.0,6.0
D,D26,440.0,5.0
D,D48,440.0,4.0
D,D47,440.0,3.0
D,D27,440.0,2.0
D,D29,440.0,1.0
D,D32,435.0,6.0
D,D30,435.0,5.0
D,D50,435.0,4.0
D,D49,435.0,3.0
D,D33,435.0,2.0
D,D31,435.0,1.0
D,D36,430.0,6.0
D,D34,430.0,4.0
D,D35,430.0,3.0
D,D37,430.0,1.0
D,D56,360.0,6.0
D,D135,330.0,4.0
E,E200,465.0,4.0
E,E201,465.0,3.0
E,E1,465.0,2.0
E,E2,465.0,1.0
E,E202,460.0,4.0
E,E203,460.0,3.0
E,E3,460.0,2.0
E,E4,460.0,1.0
E,E11,455.0,3.0
E,E7,455.0,2.0
E,E8,455.0,1.0
E,E12,450.0,3.0
E,E9,450.0,2.0
E,E10,450.0,1.0
E,E14,445.0,3.0
E,E16,445.0,2.0
E,E17,445.0,1.0
E,E15,440.0,3.0
E,E18,440.0,2.0
E,E19,440.0,1.0
E,E20,435.0,2.0
E,E21,435.0,1.0
E,E22,430.0,2.0
E,E23,430.0,1.0
E,E26,425.0,3.0
E,E24,425.0,2.0
E,E25,425.0,1.0
E,E27,420.0,3.0
E,E28,420.0,2.0
E,E29,420.0,1.0
E,E38,415.0,3.0
E,E30,415.0,2.0
E,E31,415.0,1.0
E,E39,410.0,3.0
E,E32,410.0,2.0
E,E33,410.0,1.0
E,E40,405.0,3.0
E,E34,405.0,2.0
E,E35,405.0,1.0
E,E41,400.0,3.0
E,E36,400.0,2.0
E,E37,400.0,1.0
E,E42,395.0,3.0
E,E43,395.0,2.0
E,E44,395.0,1.0
E,E45,390.0,2.0
E,E46,390.0,1.0
E,E47,385.0,3.0
E,E49,385.0,2.0
E,E50,385.0,1.0
E,E48,380.0,3.0
E,E51,380.0,2.0
E,E52,380.0,1.0
E,E57,375.0,3.0
E,E53,375.0,2.0
E,E54,375.0,1.0
E,E58,370.0,3.0
E,E55,370.0,2.0
E,E56,370.0,1.0
E,E60,365.0,3.0
E,E64,365.0,2.0
E,E65,365.0,1.0
E,E62,360.0,3.0
E,E66,360.0,2.0
E,E67,360.0,1.0
E,E63,355.0,3.0
E,E68,355.0,1.0
E,E77,345.0,2.0
E,E78,345.0,1.0
E,E99,330.0,3.0
E,E100,330.0,2.0
E,E101,330.0,1.0
F,F58,465.0,6.0
F,F38,330.0,5.0
F,F46,465.0,3.0
F,F45,465.0,1.0
F,F60,460.0,6.0
F,F56,460.0,4.0
F,F47,460.0,3.0
F,F49,460.0,1.0
F,F51,455.0,3.0
F,F53,455.0,1.0
F,F62,450.0,6.0
F,F55,450.0,3.0
F,F57,450.0,2.0
F,F59,450.0,1.0
F,F68,445.0,6.0
F,F66,445.0,5.0
F,F64,445.0,4.0
F,F69,445.0,3.0
F,F63,445.0,2.0
F,F65,445.0,1.0
F,F74,440.0,6.0
F,F72,440.0,5.0
F,F70,440.0,4.0
F,F73,440.0,3.0
F,F75,440.0,2.0
F,F71,440.0,1.0
F,F84,435.0,6.0
F,F82,435.0,5.0
E,E80,435.0,4.0
F,F77,435.0,3.0
F,F79,435.0,2.0
F,F81,435.0,1.0
F,F90,430.0,6.0
F,F88,430.0,5.0
F,F86,430.0,4.0
F,F83,430.0,3.0
F,F85,430.0,2.0
F,F87,430.0,1.0
F,F96,425.0,6.0
F,F94,425.0,5.0
F,F92,425.0,4.0
F,F89,425.0,3.0
F,F91,425.0,2.0
F,F93,425.0,1.0
F,F100,420.0,5.0
F,F98,420.0,4.0
F,F95,420.0,3.0
F,F97,420.0,2.0
F,F99,420.0,1.0
F,F4,360.0,6.0
F,F2,360.0,5.0
F,F5,360.0,2.0
F,F7,360.0,1.0
F,F8,355.0,6.0
F,F6,355.0,5.0
F,F9,355.0,2.0
F,F11,355.0,1.0
F,F12,350.0,6.0
F,F10,350.0,5.0
F,F18,345.0,6.0
F,F16,345.0,5.0
F,F15,345.0,4.0
F,F17,345.0,3.0
F,F19,345.0,2.0
F,F21,345.0,1.0
F,F28,340.0,6.0
F,F26,340.0,5.0
F,F24,340.0,4.0
F,F29,340.0,3.0
F,F25,340.0,2.0
F,F27,340.0,1.0
F,F34,335.0,6.0
F,F32,335.0,5.0
F,F30,335.0,4.0
F,F31,335.0,3.0
F,F33,335.0,2.0
F,F35,335.0,1.0
F,F40,330.0,6.0
F,F190,330.0,4.0
F,F39,330.0,3.0
F,F41,330.0,2.0
F,F43,330.0,1.0
G,G8,360.0,6.0
G,G6,360.0,5.0
G,G2,360.0,4.0
G,G5,360.0,3.0
G,G3,360.0,2.0
G,G1,360.0,1.0
G,G16,355.0,6.0
G,G14,355.0,5.0
G,G12,355.0,4.0
G,G11,355.0,3.0
G,G17,355.0,2.0
G,G15,355.0,1.0
G,G24,350.0,6.0
G,G22,350.0,5.0
G,G20,350.0,4.0
G,G21,350.0,3.0
G,G23,350.0,2.0
G,G25,350.0,1.0
G,G30,345.0,6.0
G,G28,345.0,5.0
G,G26,345.0,4.0
G,G29,345.0,3.0
G,G31,345.0,2.0
G,G33,345.0,1.0
G,G36,340.0,6.0
G,G34,340.0,5.0
G,G32,340.0,4.0
G,G37,340.0,3.0
G,G39,340.0,2.0
G,G41,340.0,1.0
G,G46,335.0,6.0
G,G44,335.0,5.0
G,G42,335.0,4.0
G,G43,335.0,3.0
G,G45,335.0,2.0
G,G47,335.0,1.0
G,G48,330.0,3.0
G,G49,330.0,4.0
