deck,cabin,cabin_x,cabin_y
A,A36,350.0,1.0
A,A37,350.0,6.0
A,A32,400.0,6.0
A,A30,400.0,5.0
A,A31,400.0,2.0
A,A33,400.0,1.0
A,A28,405.0,6.0
A,A26,405.0,5.0
A,A27,405.0,2.0
A,A29,405.0,1.0
A,A34,395.0,6.0
A,A35,395.0,1.0
A,A24,410.0,6.0
A,A22,410.0,5.0
A,A23,410.0,2.0
A,A25,410.0,1.0
A,A20,415.0,6.0
A,A18,415.0,5.0
A,A19,415.0,2.0
A,A21,415.0,1.0
A,A16,420.0,6.0
A,A14,420.0,5.0
A,A15,420.0,2.0
A,A17,420.0,1.0
A,A12,425.0,6.0
A,A10,425.0,5.0
A,A9,425.0,2.0
A,A11,425.0,1.0
A,A8,430.0,6.0
A,A6,430.0,5.0
A,A5,430.0,2.0
A,A7,430.0,1.0
A,A4,435.0,6.0
A,A2,435.0,4.0
A,A1,435.0,3.0
A,A3,435.0,1.0
B,B90,345.0,6.0
B,B94,340.0,6.0
B,B96,335.0,6.0
B,B98,330.0,6.0
B,B92,345.0,5.0
B,B91,345.0,1.0
B,B101,395.0,3.0
B,B102,395.0,4.0
B,B100,385.0,4.0
B,B99,385.0,3.0
B,B58,400.0,6.0
B,B88,350.0,6.0
B,B84,355.0,6.0
B,B86,355.0,5.0
B,B85,355.0,1.0
B,B82,360.0,6.0
B,B78,365.0,6.0
B,B76,370.0,6.0
B,B72,375.0,6.0
B,B70,380.0,6.0
B,B66,385.0,6.0
B,B64,390.0,6.0
B,B60,395.0,6.0
B,B80,365.0,5.0
B,B74,375.0,5.0
B,B68,385.0,5.0
B,B62,395.0,5.0
B,B79,365.0,1.0
B,B73,375.0,1.0
B,B67,385.0,1.0
B,B52,405.0,5.0
B,B51,405.0,1.0
B,B61,395.0,1.0
C,C8,465.0,6.0
C,C6,465.0,5.0
C,C2,465.0,4.0
C,C1,465.0,3.0
C,C3,465.0,2.0
C,C5,465.0,1.0
C,C12,460.0,6.0
C,C48,460.0,5.0
C,C41,460.0,4.0
C,C43,460.0,3.0
C,C9,460.0,2.0
C,C11,460.0,1.0
C,C14,455.0,6.0
C,C50,455.0,4.0
C,C15,455.0,1.0
C,C18,450.0,6.0
C,C16,450.0,5.0
C,C52,450.0,4.0
C,C45,450.0,3.0
C,C17,450.0,2.0
C,C19,450.0,1.0
C,C20,445.0,6.0
C,C54,445.0,4.0
C,C47,445.0,3.0
C,C21,445.0,1.0
C,C42,410.0,6.0
C,C22,440.0,5.0
C,C56,440.0,4.0
C,C49,440.0,3.0
